question_id,test_id,section_name,section_order,question_order,text,option_a,option_b,option_c,option_d,correct,explanation,marks,negative_marks,subject,difficulty
q-ga-012,ssc-cgl-03,General Awareness,2,9,Who is the author of the epic Ramayana?,Tulsidas,Valmiki,Kabir,Kalidas,1,Valmiki wrote Ramayana.,2,0.5,History,Easy
q-ga-013,ssc-cgl-03,General Awareness,2,10,Which is largest ocean?,Atlantic,Indian,Pacific,Arctic,2,Pacific is largest ocean.,2,0.5,Geography,Easy
q-ga-014,ssc-cgl-03,General Awareness,2,11,Which day is celebrated as Republic Day?,2026-08-15 00:00:00,2026-01-26 00:00:00,2026-10-02 00:00:00,2026-11-14 00:00:00,1,India celebrates Republic Day on 26 Jan.,2,0.5,History,Easy
q-ga-015,ssc-cgl-03,General Awareness,2,12,Who is known as Iron Man of India?,Nehru,Gandhi,Patel,Bose,2,Sardar Patel is Iron Man.,2,0.5,History,Easy
q-ga-016,ssc-cgl-03,General Awareness,2,13,Which is national flower of India?,Rose,Lotus,Lily,Sunflower,1,Lotus is national flower.,2,0.5,Biology,Easy
q-ga-017,ssc-cgl-03,General Awareness,2,14,Which organ pumps blood?,Lungs,Brain,Heart,Kidney,2,Heart pumps blood.,2,0.5,Biology,Easy
q-ga-018,ssc-cgl-03,General Awareness,2,15,Which is largest state in India by area?,UP,Bihar,Rajasthan,MP,2,Rajasthan largest state.,2,0.5,Geography,Easy
q-ga-019,ssc-cgl-03,General Awareness,2,16,Which metal is liquid at room temperature?,Iron,Gold,Mercury,Copper,2,Mercury is liquid metal.,2,0.5,Science,Easy
q-ga-020,ssc-cgl-03,General Awareness,2,17,Which is smallest state in India?,Goa,Sikkim,Punjab,Haryana,0,Goa is smallest state.,2,0.5,Geography,Easy
q-ga-021,ssc-cgl-03,General Awareness,2,18,Who invented telephone?,Bell,Edison,Newton,Tesla,0,Alexander Graham Bell invented telephone.,2,0.5,Science,Easy
q-ga-022,ssc-cgl-03,General Awareness,2,19,Which is national tree of India?,Banyan,Mango,Neem,Peepal,0,Banyan is national tree.,2,0.5,Biology,Easy
q-ga-023,ssc-cgl-03,General Awareness,2,20,Which is boiling point of water?,50°C,80°C,100°C,120°C,2,Water boils at 100°C.,2,0.5,Science,Easy
q-ga-024,ssc-cgl-03,General Awareness,2,21,Who is Father of Nation?,Nehru,Gandhi,Patel,Bose,1,Mahatma Gandhi is Father of Nation.,2,0.5,History,Easy
q-ga-025,ssc-cgl-03,General Awareness,2,22,Which currency is used in USA?,Rupee,Yen,Dollar,Pound,2,USA uses Dollar.,2,0.5,Economics,Easy
q-ga-026,ssc-cgl-03,General Awareness,2,23,Which is fastest land animal?,Lion,Tiger,Cheetah,Horse,2,Cheetah fastest land animal.,2,0.5,Biology,Easy
q-ga-027,ssc-cgl-03,General Awareness,2,24,Which is largest continent?,Africa,Asia,Europe,Australia,1,Asia largest continent.,2,0.5,Geography,Easy
q-ga-028,ssc-cgl-03,General Awareness,2,25,How many states in India (2024)?,26,27,28,29,2,India has 28 states.,2,0.5,Polity,Easy
q-re-004,ssc-cgl-04,Reasoning,1,1,"If in a code LANGUAGE is written as MCPIWCGG, how is COMPUTER written?",EQORWUGT,EQORWVGT,EQORWVCR,EQORWTGT,1,Each letter is shifted +2 positions.,2,0.5,Coding-Decoding,Medium
q-re-005,ssc-cgl-04,Reasoning,1,2,"In a row of 40 students, Ravi is 12th from left. What is his position from right?",27,28,29,30,2,Right position = Total − Left + 1.,2,0.5,Ranking,Medium
q-re-006,ssc-cgl-04,Reasoning,1,3,"Find the missing number: 6, 13, 26, 45, ?",70,72,68,74,0,"Pattern: +7, +13, +19, +25.",2,0.5,Series,Medium
q-re-007,ssc-cgl-04,Reasoning,1,4,How many meaningful English words can be formed with letters 'TAC'?,1,2,3,4,1,ACT and CAT.,2,0.5,Coding-Decoding,Medium
q-re-008,ssc-cgl-04,Reasoning,1,5,"If SOUTH is coded as 91362 and NORTH as 46728, what is code for THORN?",36278,72836,36728,72863,3,Map letters from given codes.,2,0.5,Coding-Decoding,High
q-re-009,ssc-cgl-04,Reasoning,1,6,"A is father of B, B is sister of C. How is A related to C?",Brother,Father,Uncle,Grandfather,1,A is father of C.,2,0.5,Blood Relation,Easy
q-re-010,ssc-cgl-04,Reasoning,1,7,Find the odd pair from the given options.,"1 day, 12:06:00","2 days, 1:07:00","2 days, 16:08:00","3 days, 9:10:00",3,Square root mismatch.,2,0.5,Odd One Out,Medium
q-re-011,ssc-cgl-04,Reasoning,1,8,"If 5×4=41 and 6×5=56, then 7×6=?",67,73,71,75,2,Pattern: (a×b)+a.,2,0.5,Pattern,Medium
q-re-012,ssc-cgl-04,Reasoning,1,9,How many triangles are in a hexagon?,18,20,24,30,2,Count total possible triangles.,2,0.5,Odd One Out,High
q-re-013,ssc-cgl-04,Reasoning,1,10,Mirror image of 2:45 will be?,09:15:00,09:20:00,09:25:00,09:30:00,0,Mirror time calculation.,2,0.5,Clock,Medium
q-re-014,ssc-cgl-04,Reasoning,1,11,"Which number replaces the question mark: 3, 9, 27, 81, ?",162,243,324,256,1,Multiply by 3.,2,0.5,Series,Easy
q-re-015,ssc-cgl-04,Reasoning,1,12,"If A=1, Z=26, what is value of CAT?",24,26,25,27,0,3+1+20.,2,0.5,Coding-Decoding,Medium
q-re-016,ssc-cgl-04,Reasoning,1,13,Find the odd word from the given options.,Meter,Kilogram,Liter,Celsius,3,Celsius is temperature unit.,2,0.5,Odd One Out,Medium
q-re-017,ssc-cgl-04,Reasoning,1,14,"If day before yesterday was Sunday, what day is tomorrow?",Monday,Tuesday,Wednesday,Thursday,2,Calculate sequence.,2,0.5,Calendar,Medium
q-re-018,ssc-cgl-04,Reasoning,1,15,How many squares are in a 4×4 grid?,16,20,30,40,2,Total squares formula.,2,0.5,Odd One Out,High
q-re-019,ssc-cgl-04,Reasoning,1,16,"If pen is called book, book is called pencil, pencil is called eraser, what do you write with?",Pen,Book,Pencil,Eraser,1,Write with pencil → called book.,2,0.5,Vocabulary,Medium
q-re-020,ssc-cgl-04,Reasoning,1,17,"Find next number: 2, 5, 10, 17, 26, ?",35,36,37,38,2,Add consecutive odd numbers.,2,0.5,Series,Medium
q-re-021,ssc-cgl-04,Reasoning,1,18,"Which diagram represents Doctors, Surgeons, Humans?",Three separate,Circle inside circle,All overlap,Line diagram,1,Surgeons subset of Doctors.,2,0.5,Odd One Out,Medium
q-re-022,ssc-cgl-04,Reasoning,1,19,"If 8 men complete work in 12 days, how many men needed in 6 days?",14,16,18,20,1,Double workers needed.,2,0.5,Time & Work,Medium
q-re-023,ssc-cgl-04,Reasoning,1,20,Find the odd number from the given options.,121,144,169,196,0,121 is 11² others even squares.,2,0.5,Number System,Medium
q-re-024,ssc-cgl-04,Reasoning,1,21,"What is next alphabet series: B, E, H, K, ?",M,N,O,P,1,#ERROR!,2,0.5,Alphabet,Easy
q-re-025,ssc-cgl-04,Reasoning,1,22,"If 15th August is Monday, what day is 2nd September?",Thursday,Friday,Saturday,Sunday,1,Count days forward.,2,0.5,Calendar,High
q-re-026,ssc-cgl-04,Reasoning,1,23,"Which number is wrong in series: 2, 4, 8, 16, 31, 64?",8,16,31,64,2,Should be 32.,2,0.5,Series,Medium
q-re-027,ssc-cgl-04,Reasoning,1,24,"If TRAIN is written as WUDLQ, how is PLANE written?",SODQH,SODQF,SODQG,SODQK,0,Shift +3 pattern.,2,0.5,Coding-Decoding,Medium
q-re-028,ssc-cgl-04,Reasoning,1,25,In how many ways can letters of word 'DATA' be arranged?,12,24,36,48,0,4!/2! arrangements.,2,0.5,Arrangement,High
q-ga-029,ssc-cgl-04,General Awareness,2,1,Which Constitutional Amendment introduced the words 'Socialist' and 'Secular' into the Preamble?,24th Amendment,42nd Amendment,44th Amendment,52nd Amendment,1,"The 42nd Amendment Act, 1976 added these words.",2,0.5,Polity,Medium
q-ga-030,ssc-cgl-04,General Awareness,2,2,Which river is known as the 'Sorrow of Bihar'?,Kosi,Gandak,Son,Ganga,0,Kosi river frequently causes floods in Bihar.,2,0.5,Geography,Medium
q-ga-031,ssc-cgl-04,General Awareness,2,3,Who was the first woman to become President of the Indian National Congress?,Sarojini Naidu,Annie Besant,Indira Gandhi,Vijaya Lakshmi Pandit,1,Annie Besant became President in 1917.,2,0.5,History,Medium
q-ga-032,ssc-cgl-04,General Awareness,2,4,Which metal has the highest electrical conductivity?,Copper,Silver,Gold,Aluminium,1,Silver has highest conductivity.,2,0.5,Science,Medium
q-ga-033,ssc-cgl-04,General Awareness,2,5,The headquarters of UNESCO is located in which city?,Geneva,Paris,New York,Vienna,1,UNESCO headquarters is in Paris.,2,0.5,International Affairs,Medium
q-ga-034,ssc-cgl-04,General Awareness,2,6,Which Mughal emperor built the Buland Darwaza at Fatehpur Sikri?,Akbar,Jahangir,Shah Jahan,Aurangzeb,0,Akbar built Buland Darwaza.,2,0.5,History,Medium
q-ga-035,ssc-cgl-04,General Awareness,2,7,Which vitamin deficiency causes night blindness?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,0,Vitamin A deficiency causes night blindness.,2,0.5,Biology,Easy
q-ga-036,ssc-cgl-04,General Awareness,2,8,Which is the longest dam in India?,Hirakud Dam,Bhakhra Dam,Tehri Dam,Nagarjuna Sagar,0,Hirakud Dam in Odisha is longest.,2,0.5,Geography,Medium
q-ga-037,ssc-cgl-04,General Awareness,2,9,Who among the following is known as the 'Missile Man of India'?,Homi Bhabha,A.P.J. Abdul Kalam,Vikram Sarabhai,Rakesh Sharma,1,Dr. Kalam led missile development programs.,2,0.5,Science,Medium
q-ga-038,ssc-cgl-04,General Awareness,2,10,Which is the largest freshwater lake in India?,Wular Lake,Dal Lake,Chilika Lake,Loktak Lake,0,Wular Lake in J&K is largest freshwater lake.,2,0.5,Geography,Medium
q-ga-039,ssc-cgl-04,General Awareness,2,11,The 'Quit India Movement' was launched in which year?,1930,1942,1919,1947,1,Quit India Movement began in 1942.,2,0.5,History,Medium
q-ga-040,ssc-cgl-04,General Awareness,2,12,Which Indian state has the highest literacy rate?,Kerala,Tamil Nadu,Maharashtra,Gujarat,0,Kerala has highest literacy rate.,2,0.5,Geography,Medium
q-ga-041,ssc-cgl-04,General Awareness,2,13,Which gas is used in fire extinguishers?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,2,CO₂ helps to extinguish fire.,2,0.5,Science,Medium
q-ga-042,ssc-cgl-04,General Awareness,2,14,Who was the first Governor-General of independent India?,Lord Mountbatten,C. Rajagopalachari,Warren Hastings,William Bentinck,0,Lord Mountbatten served first.,2,0.5,History,Medium
q-ga-043,ssc-cgl-04,General Awareness,2,15,Which is the smallest continent by area?,Europe,Australia,Antarctica,South America,1,Australia is smallest continent.,2,0.5,Geography,Easy
q-ga-044,ssc-cgl-04,General Awareness,2,16,The RBI was established in which year?,1935,1947,1950,1920,0,RBI established in 1935.,2,0.5,Economics,Medium
q-ga-045,ssc-cgl-04,General Awareness,2,17,Which element is required for formation of hemoglobin?,Iron,Calcium,Sodium,Potassium,0,Iron is essential for hemoglobin.,2,0.5,Biology,Medium
q-ga-046,ssc-cgl-04,General Awareness,2,18,Which state is known as the 'Spice Garden of India'?,Kerala,Goa,Karnataka,Tamil Nadu,0,Kerala produces spices.,2,0.5,Geography,Medium
q-ga-047,ssc-cgl-04,General Awareness,2,19,The 'Green Revolution' in India is mainly associated with which crop?,Rice,Wheat,Cotton,Sugarcane,1,Green Revolution focused on wheat.,2,0.5,Agriculture,Medium
q-ga-048,ssc-cgl-04,General Awareness,2,20,Who wrote the book 'Discovery of India'?,Mahatma Gandhi,Jawaharlal Nehru,B.R. Ambedkar,Subhas Bose,1,Nehru wrote the book.,2,0.5,History,Medium
q-ga-049,ssc-cgl-04,General Awareness,2,21,Which planet has the maximum number of moons?,Jupiter,Saturn,Mars,Neptune,1,Saturn currently has the most moons.,2,0.5,Science,High
q-ga-050,ssc-cgl-04,General Awareness,2,22,Which is the national aquatic animal of India?,Dolphin,Shark,Whale,Turtle,0,Ganges river dolphin is national aquatic animal.,2,0.5,Biology,Medium
q-ga-051,ssc-cgl-04,General Awareness,2,23,The 'Chipko Movement' is related to which issue?,Water conservation,Tree protection,Soil conservation,Wildlife protection,1,Movement focused on saving trees.,2,0.5,Science,Medium
q-ga-052,ssc-cgl-04,General Awareness,2,24,Which is the largest coal-producing state in India?,Jharkhand,Odisha,Chhattisgarh,West Bengal,0,Jharkhand produces most coal.,2,0.5,Geography,Medium
q-ga-053,ssc-cgl-04,General Awareness,2,25,Who was the first Indian to win a Nobel Prize?,Rabindranath Tagore,C.V. Raman,Mother Teresa,Hargobind Khurana,0,Tagore won in 1913.,2,0.5,History,Medium
q-qa-004,ssc-cgl-04,Quantitative Aptitude,3,1,A number increased by 20% becomes 360. What is the original number?,280,300,320,340,1,Let x×1.2=360 → x=300.,2,0.5,Percentage,Medium
q-qa-005,ssc-cgl-04,Quantitative Aptitude,3,2,The ratio of ages of A and B is 3:5. After 6 years ratio becomes 4:5. Find present age of A.,18,24,30,36,1,3x+6 / 5x+6 = 4/5 → x=8 → A=24.,2,0.5,Arithmetic,High
q-qa-006,ssc-cgl-04,Quantitative Aptitude,3,3,A train 180 m long crosses a pole in 12 seconds. Find speed in km/h.,48,54,60,72,1,Speed=180/12=15 m/s=54 km/h.,2,0.5,Speed & Distance,Medium
q-qa-007,ssc-cgl-04,Quantitative Aptitude,3,4,Simple interest on ₹5000 at 8% for 3 years is?,1000,1100,1200,1300,2,SI=P×R×T/100.,2,0.5,Simple Interest,Medium
q-qa-008,ssc-cgl-04,Quantitative Aptitude,3,5,A shopkeeper gives 10% discount on marked price ₹800. Find selling price.,700,720,740,760,1,10% of 800=80 → SP=720.,2,0.5,Profit & Loss,Easy
q-qa-009,ssc-cgl-04,Quantitative Aptitude,3,6,"If 12 men complete work in 15 days, how many days will 20 men take?",8,9,10,11,1,Work inversely proportional.,2,0.5,Time & Work,Medium
q-qa-010,ssc-cgl-04,Quantitative Aptitude,3,7,Find average of first 10 natural numbers.,5,5.5,6,6.5,1,Average=(n+1)/2.,2,0.5,Average,Easy
q-qa-011,ssc-cgl-04,Quantitative Aptitude,3,8,The perimeter of square is 48 cm. Find area.,144,196,256,324,0,Side=12 → Area=144.,2,0.5,Geometry,Medium
q-qa-012,ssc-cgl-04,Quantitative Aptitude,3,9,Find compound interest on ₹2000 at 10% for 2 years.,400,420,440,460,1,CI=420.,2,0.5,Compound Interest,Medium
q-qa-013,ssc-cgl-04,Quantitative Aptitude,3,10,A car travels 60 km in 1.5 hours. Find speed.,35,40,45,50,1,Speed=Distance/Time.,2,0.5,Speed & Distance,Easy
q-qa-014,ssc-cgl-04,Quantitative Aptitude,3,11,"If cost price is ₹400 and selling price ₹480, profit percent?",0.15,0.18,0.2,0.22,2,Profit=80 → 20%.,2,0.5,Profit & Loss,Medium
q-qa-015,ssc-cgl-04,Quantitative Aptitude,3,12,The LCM of 12 and 18 is?,24,30,36,48,2,LCM=36.,2,0.5,Number System,Easy
q-qa-016,ssc-cgl-04,Quantitative Aptitude,3,13,Find HCF of 24 and 36.,6,8,12,18,2,HCF=12.,2,0.5,Number System,Easy
q-qa-017,ssc-cgl-04,Quantitative Aptitude,3,14,"If radius of circle is 7 cm, find circumference.",42 cm,44 cm,48 cm,50 cm,1,2πr=44.,2,0.5,Geometry,Medium
q-qa-018,ssc-cgl-04,Quantitative Aptitude,3,15,A sum doubles in 5 years at simple interest. Find rate.,0.1,0.15,0.2,0.25,2,100% interest in 5 yrs → 20%.,2,0.5,Simple Interest,High
q-qa-019,ssc-cgl-04,Quantitative Aptitude,3,16,The difference between compound and simple interest on ₹1000 for 2 years at 10% is?,5,10,15,20,1,Difference=10.,2,0.5,Simple Interest,High
q-qa-020,ssc-cgl-04,Quantitative Aptitude,3,17,"If 8 workers finish job in 12 days, how many workers needed in 6 days?",14,15,16,18,2,Double workers.,2,0.5,Time & Work,Medium
q-qa-021,ssc-cgl-04,Quantitative Aptitude,3,18,A number when divided by 7 leaves remainder 3. What is remainder when squared number divided by 7?,1,2,4,5,2,(7k+3)² mod 7=9 mod 7=2.,2,0.5,Number System,High
q-qa-022,ssc-cgl-04,Quantitative Aptitude,3,19,"Find median of numbers 2, 4, 6, 8, 10.",5,6,7,8,1,Middle number.,2,0.5,Arithmetic,Easy
q-qa-023,ssc-cgl-04,Quantitative Aptitude,3,20,The area of rectangle is 120 cm² and length is 15 cm. Find breadth.,6,7,8,9,2,B=120/15.,2,0.5,Geometry,Easy
q-qa-024,ssc-cgl-04,Quantitative Aptitude,3,21,"If 3x = 27, what is the value of x?",6,7,8,9,3,x=9.,2,0.5,Arithmetic,Easy
q-qa-025,ssc-cgl-04,Quantitative Aptitude,3,22,A mixture of milk and water in ratio 4:1. Find percentage of water.,0.15,0.18,0.2,0.25,2,1/5=20%.,2,0.5,Ratio,Medium
q-qa-026,ssc-cgl-04,Quantitative Aptitude,3,23,The square root of 625 is?,15,20,25,30,2,25²=625.,2,0.5,Number System,Easy
q-qa-027,ssc-cgl-04,Quantitative Aptitude,3,24,"If selling price is ₹540 and loss is 10%, find cost price.",580,600,620,640,1,CP=600.,2,0.5,Profit & Loss,Medium
q-qa-028,ssc-cgl-04,Quantitative Aptitude,3,25,The sum of first 20 natural numbers is?,190,200,210,220,2,n(n+1)/2.,2,0.5,Arithmetic,Medium
q-re-029,ssc-cgl-05,Reasoning,1,1,"Find the next number in the series: 3, 9, 27, 81, ?",162,243,324,729,1,Each number multiplied by 3.,2,0.5,Series,Medium
q-re-030,ssc-cgl-05,Reasoning,1,2,"If CAT is coded as DBU, how is DOG coded?",EPH,EQG,EPG,DOH,0,Each letter shifted by +1.,2,0.5,Coding-Decoding,Medium
q-re-031,ssc-cgl-05,Reasoning,1,3,Find the odd one out.,Cow,Dog,Tiger,Carrot,3,Carrot is a vegetable.,2,0.5,Odd One Out,Easy
q-re-032,ssc-cgl-05,Reasoning,1,4,Complete the analogy: Book : Read :: Pen : ?,Write,Draw,Paint,Print,0,Pen is used to write.,2,0.5,Analogy,Easy
q-re-033,ssc-cgl-05,Reasoning,1,5,How many sides does a hexagon have?,5,6,7,8,1,Hexagon has 6 sides.,2,0.5,Reasoning,Easy
q-re-034,ssc-cgl-05,Reasoning,1,6,"In a row of students, Rahul is 7th from left and 10th from right. How many students are there?",15,16,17,18,1,Total = 7 + 10 - 1.,2,0.5,Ranking,Medium
q-re-035,ssc-cgl-05,Reasoning,1,7,"Find missing number: 2, 6, 12, 20, ?",28,30,32,36,1,"Pattern: +4, +6, +8, +10.",2,0.5,Series,Medium
q-re-036,ssc-cgl-05,Reasoning,1,8,Which direction is opposite to South-East?,North-West,North-East,South-West,West,0,Opposite of SE is NW.,2,0.5,Direction,Medium
q-re-037,ssc-cgl-05,Reasoning,1,9,"If A = 1, B = 2, then CAT = ?",24,26,27,28,0,"C=3, A=1, T=20 → 24.",2,0.5,Alphabet,Medium
q-re-038,ssc-cgl-05,Reasoning,1,10,"Find the missing term: 5, 10, 20, 40, ?",60,70,80,90,2,Each multiplied by 2.,2,0.5,Series,Easy
q-re-039,ssc-cgl-05,Reasoning,1,11,"If Monday is 1st day, what day is 10th day?",Wednesday,Thursday,Friday,Saturday,2,10 mod 7 = Friday.,2,0.5,Calendar,Medium
q-re-040,ssc-cgl-05,Reasoning,1,12,"Find odd number: 8, 27, 64, 125, 150",8,27,125,150,3,150 not perfect cube.,2,0.5,Odd One Out,Medium
q-re-041,ssc-cgl-05,Reasoning,1,13,Mirror image of 3:15 clock is?,08:45:00,09:45:00,08:15:00,09:15:00,0,12 - 3:15 logic.,2,0.5,Clock,High
q-re-042,ssc-cgl-05,Reasoning,1,14,"Which number replaces question mark? 7, 14, 28, 56, ?",84,98,112,120,2,Multiply by 2.,2,0.5,Series,Easy
q-re-043,ssc-cgl-05,Reasoning,1,15,Find the odd word from the given options.,Apple,Banana,Mango,Carrot,3,Carrot is vegetable.,2,0.5,Odd One Out,Easy
q-re-044,ssc-cgl-05,Reasoning,1,16,"If TRAIN is coded as USBJO, how is PLANE coded?",QMBOF,QLBOF,QMBNF,QMBNE,0,Each letter shifted +1.,2,0.5,Coding-Decoding,Medium
q-re-045,ssc-cgl-05,Reasoning,1,17,How many months have 31 days?,5,6,7,8,2,7 months have 31 days.,2,0.5,Reasoning,Easy
q-re-046,ssc-cgl-05,Reasoning,1,18,"Find missing number: 4, 9, 16, 25, ?",30,36,35,49,1,Squares pattern.,2,0.5,Series,Easy
q-re-047,ssc-cgl-05,Reasoning,1,19,"If North becomes East, what will West become?",North,South,East,West,0,Rotation logic.,2,0.5,Direction,Medium
q-re-048,ssc-cgl-05,Reasoning,1,20,"Find next alphabet: A, C, F, J, ?",M,O,P,Q,1,#ERROR!,2,0.5,Series,Medium
q-re-049,ssc-cgl-05,Reasoning,1,21,"Find the odd number: 11, 13, 17, 19, 21",11,13,17,21,3,21 not prime.,2,0.5,Number System,Medium
q-re-050,ssc-cgl-05,Reasoning,1,22,"If 5 workers finish work in 10 days, how many days for 10 workers?",2,4,5,8,2,"Double workers, half time.",2,0.5,Time & Work,Medium
q-re-051,ssc-cgl-05,Reasoning,1,23,Which shape has no sides?,Triangle,Circle,Square,Rectangle,1,Circle has no sides.,2,0.5,Reasoning,Easy
q-re-052,ssc-cgl-05,Reasoning,1,24,"Find missing term: 1, 4, 9, 16, ?",20,24,25,36,2,Squares pattern.,2,0.5,Series,Easy
q-re-053,ssc-cgl-05,Reasoning,1,25,"If TODAY is Monday, what day after 100 days?",Tuesday,Wednesday,Thursday,Friday,1,100 mod 7 = Wednesday.,2,0.5,Calendar,High
q-ga-054,ssc-cgl-05,General Awareness,2,1,Who is known as the Father of the Indian Constitution?,Mahatma Gandhi,Jawaharlal Nehru,B. R. Ambedkar,Rajendra Prasad,2,Dr. B. R. Ambedkar chaired the Drafting Committee.,2,0.5,Polity,Medium
q-ga-055,ssc-cgl-05,General Awareness,2,2,Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,1,Mars appears red due to iron oxide.,2,0.5,Science,Easy
q-ga-056,ssc-cgl-05,General Awareness,2,3,What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,2,Canberra is the capital city.,2,0.5,Geography,Medium
q-ga-057,ssc-cgl-05,General Awareness,2,4,Who discovered the law of gravity?,Newton,Einstein,Galileo,Kepler,0,Isaac Newton discovered gravity.,2,0.5,Science,Easy
q-ga-058,ssc-cgl-05,General Awareness,2,5,Which gas is most abundant in Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,1,Nitrogen makes up about 78%.,2,0.5,Science,Easy
q-ga-059,ssc-cgl-05,General Awareness,2,6,Who was the first President of India?,Rajendra Prasad,Sarvepalli Radhakrishnan,Zakir Hussain,Dr. Kalam,0,Dr. Rajendra Prasad served first.,2,0.5,Polity,Medium
q-ga-060,ssc-cgl-05,General Awareness,2,7,Which river is known as the 'Sorrow of Bihar'?,Ganga,Kosi,Yamuna,Brahmaputra,1,Kosi causes frequent floods.,2,0.5,Geography,Medium
q-ga-061,ssc-cgl-05,General Awareness,2,8,The Battle of Plassey was fought in which year?,1757,1764,1857,1947,0,It established British rule in India.,2,0.5,History,Medium
q-ga-062,ssc-cgl-05,General Awareness,2,9,Which vitamin is obtained from sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,3,Sunlight helps produce Vitamin D.,2,0.5,Science,Easy
q-ga-063,ssc-cgl-05,General Awareness,2,10,Which is the largest ocean in the world?,Indian Ocean,Atlantic Ocean,Pacific Ocean,Arctic Ocean,2,Pacific Ocean is largest.,2,0.5,Geography,Easy
q-ga-064,ssc-cgl-05,General Awareness,2,11,Who invented the telephone?,Graham Bell,Edison,Tesla,Newton,0,Alexander Graham Bell invented telephone.,2,0.5,Science,Medium
q-ga-065,ssc-cgl-05,General Awareness,2,12,Which Mughal emperor built the Taj Mahal?,Akbar,Babur,Shah Jahan,Aurangzeb,2,Shah Jahan built Taj Mahal.,2,0.5,History,Easy
q-ga-066,ssc-cgl-05,General Awareness,2,13,Which is the national animal of India?,Tiger,Lion,Elephant,Leopard,0,Bengal Tiger is national animal.,2,0.5,General Knowledge,Easy
